Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Regular price,Categories,Tags,Images,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
variable,ABC-952,952 Zip-Front Post-Surgical Camisole with Drain Management,1,0,visible,"Post-surgical camisole features a zipper front and detachable shoulder clasp for easy step-in entry. For added comfort, zipper features a comfort strip pad to prevent zipper irritation. Velcro attachable pouches fasten to the interior elastic band for drain management. Two Velcro attachable drain pouches and two triangle puff leisure forms are included with every camisole. Ideal for use immediately following a mastectomy or anytime drain management is needed.","ABC’s Zip-Front Post Surgical Camisole with Drain Management features a zipper-front and detachable shoulder clasp for easy wear and accessibility. Our design prioritizes comfort, with features like comfort strip padding on zippers to protect sensitive skin from irritation. Complete with 2 velcro attachable drain pouches and 2 triangle puff leisure forms, this camisole set is perfect immediately following surgery.",taxable,1,,Recovery,Camisole,"https://americanbreastcare.com/wp-content/uploads/2019/05/952-beige.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/952-white.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/952-beige-2.webp",,Color,"Beige, Black, White",1,1,Size,"S, M, L, XL, XXL, XXXL, XXXXL",1,1
variation,ABC-952-V,952 Zip-Front Post-Surgical Camisole with Drain Management,1,,visible,,,taxable,1,35.10,,,,ABC-952,Color,,,1,Size,,,1
variable,ABC-619,619 Restore Bra,1,0,visible,Designed for the following:,"Ideal for recovery and compression maintenance Compression: Medium* The 619 Restore Bra is expertly tailored to deliver outstanding support throughout post-surgical care and beyond. Thoughtfully designed with medium compression, the garment enhances comfort and promotes recovery. It’s an effective solution for post-operative care, truncal compression, and lymphedema maintenance.",taxable,1,,Recovery,Bras,"https://americanbreastcare.com/wp-content/uploads/2024/12/619-black-bk-front-img2.webp, https://americanbreastcare.com/wp-content/uploads/2024/12/619-black-bk-strap-img1.webp, https://americanbreastcare.com/wp-content/uploads/2024/12/619-black-bk-zipper-img1.webp, https://americanbreastcare.com/wp-content/uploads/2024/12/619-black-bk-front-img1.webp, https://americanbreastcare.com/wp-content/uploads/2024/12/619-black-bk-back-img1.webp",,Color,Black,1,1,Size,"32 AA/A, 34 AA/A, 36 AA/A, 38 AA/A, 40 AA/A, 42 AA/A, 44 AA/A, 46 AA/A, 48 AA/A, 50 AA/A, 52 AA/A, 54 AA/A, 56 AA/A, 32 B/C, 34 B/C, 36 B/C, 38 B/C, 40 B/C, 42 B/C, 44 B/C, 46 B/C, 48 B/C, 50 B/C, 52 B/C, 54 B/C, 56 B/C, 32 D/E, 34 D/E, 36 D/E, 38 D/E, 40 D/E, 42 D/E, 44 D/E, 46 D/E, 48 D/E, 50 D/E, 52 D/E, 54 D/E, 56 D/E, 34 F/G, 36 F/G, 38 F/G, 40 F/G, 42 F/G, 44 F/G, 46 F/G, 48 F/G, 50 F/G, 52 F/G, 54 F/G, 56 F/G",1,1
variation,ABC-619-V,619 Restore Bra,1,,visible,,,taxable,1,57.00,,,,ABC-619,Color,,,1,Size,,,1
variable,ABC-519F,519F Compression Bra – Flat,1,0,visible,Designed for the following:,"Ideal for snug, secure truncal compression Compression: High* The ABC Compression Bra – Flat is an optimal choice for women who need a snug, secure fit for truncal lymphedema compression. It’s also ideal for women who have little to no tissue remaining on the chest wall, and bra cups aren’t needed. The fit of the bra is achieved through a flat, non-molded cup and sewn-in, reinforced side panels providing exceptional support.",taxable,1,,Recovery,Bras,"https://americanbreastcare.com/wp-content/uploads/2024/03/519-beige-be-img2.webp, https://americanbreastcare.com/wp-content/uploads/2024/03/519-beige-be-img1.webp, https://americanbreastcare.com/wp-content/uploads/2024/03/519-white-wh-img2.webp, https://americanbreastcare.com/wp-content/uploads/2024/03/519-white-wh-img1.webp, https://americanbreastcare.com/wp-content/uploads/2024/03/519-black-bk-img1.webp, https://americanbreastcare.com/wp-content/uploads/2024/03/519-black-bk-img2.webp",,Color,"Beige, Black, White",1,1,Size,"32 NM, 34 NM, 36 NM, 38 NM, 40 NM, 42 NM, 44 NM, 46 NM, 48 NM, 50 NM, 52 NM, 54 NM, 56 NM",1,1
variation,ABC-519F-V,519F Compression Bra – Flat,1,,visible,,,taxable,1,55.00,,,,ABC-519F,Color,,,1,Size,,,1
variable,ABC-519,519 Compression Bra,1,0,visible,"Ideal for use after a mastectomy, breast reduction, breast augmentation or reconstruction. Designed to stabilize breast tissue during the healing process and maintain the shape of the operated breast after breast surgery. Cotton blend gives a stretch-perfect fit and reinforced side panels provide exceptional support. Zipper front with hook and eye closure make this an easy-on, easy-off bra. Velcro cushion straps and wide elastic band provide a comfortable wear experience. Inside pockets are designed to hold a silicone or non-silicone breast form.","Ideal for recovery and truncal compression maintenance Compression: Medium* ABC’s Compression Bra is designed to stabilize breast tissue during the healing process and maintain breast shape post-surgery. Our soft cotton blend stretches for a comfortable fit while the reinforced side panels provide exceptional support. Our design features a zipper-front with hook & eye closure, velcro cushion straps, and wide elastic band for your comfort and ease of wear. Inner pockets make for simple insertion of breast forms/ shapers.",taxable,1,,Recovery,Bras,"https://americanbreastcare.com/wp-content/uploads/2019/05/519-Beige-2.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/519-Black.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/519-white.webp",,Color,"Beige, Black, White",1,1,Size,"32 AA/A, 34 AA/A, 36 AA/A, 38 AA/A, 40 AA/A, 42 AA/A, 44 AA/A, 46 AA/A, 48 AA/A, 50 AA/A, 52 AA/A, 54 AA/A, 56 AA/A, 32 B/C, 34 B/C, 36 B/C, 38 B/C, 40 B/C, 42 B/C, 44 B/C, 46 B/C, 48 B/C, 50 B/C, 52 B/C, 54 B/C, 56 B/C, 32 D/E, 34 D/E, 36 D/E, 38 D/E, 40 D/E, 42 D/E, 44 D/E, 46 D/E, 48 D/E, 50 D/E, 52 D/E, 54 D/E, 56 D/E, 36 F/G, 38 F/G, 40 F/G, 42 F/G, 44 F/G, 46 F/G, 48 F/G, 34 F/G, 50 F/G, 52 F/G, 54 F/G, 56 F/G",1,1
variation,ABC-519-V,519 Compression Bra,1,,visible,,,taxable,1,55.00,,,,ABC-519,Color,,,1,Size,,,1
variable,ABC-119,119 Velcro-Front Compression Bra,1,0,visible,"Ideal for use after a mastectomy, breast reduction, breast augmentation, or reconstruction. Designed to stabilize the breast tissue, this compression bra helps reduce any swelling that may occur after breast surgery. Velcro-front closure and adjustable straps make this an easy-on, easy-off bra. Inside pockets are designed to hold any type of breast form.","Ideal for use after a mastectomy, breast reduction, breast augmentation, or reconstruction Compression: Low to Moderate* ABC’s Velcro Compression Bra is designed to stabilize breast tissue, helping to reduce swelling that may occur after breast-surgery; great for use after mastectomy, breast reduction, breast augmentation, or reconstruction. Our design features a velcro-front closure, adjustable straps, and soft inner pockets that accommodate breast forms.",taxable,1,,Recovery,Bras,"https://americanbreastcare.com/wp-content/uploads/2019/05/119-white.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/119-Back-White.png",,Color,White,1,1,Size,"XS, S, M, L, XL, XXL, Q, SQ",1,1
variation,ABC-119-V,119 Velcro-Front Compression Bra,1,,visible,,,taxable,1,54.00,,,,ABC-119,Color,,,1,Size,,,1
